# Per-model stats
model,chamfer_mean,chamfer_median,precision_mean,precision_median,recall_mean,recall_median,fscore_mean,fscore_median
scene_45,0.07820333333333333,0.080254,0.17077333333333333,0.15828,0.33053333333333335,0.34134,0.22463999999999998,0.218465
scene_46,0.16763833333333333,0.129245,0.027600000000000003,0.02542,0.0964,0.07092,0.042748,0.037425
scene_47,4.318448,4.249865,0.009293333333333334,0.00858,0.0012866666666666666,0.00136,0.0022563333333333333,0.002332
scene_48,0.046078,0.047993,0.2309933333333333,0.22232,0.41494666666666663,0.39928,0.29673666666666665,0.285611
scene_49,0.18881866666666666,0.188654,0.17755333333333334,0.18536,0.23004666666666665,0.24096,0.2004153333333333,0.209534
scene_50,0.07715999999999999,0.076819,0.08718,0.08754,0.12173333333333332,0.13522,0.10145900000000001,0.106277
scene_52,15.408756000000002,15.807062,0.19998000000000002,0.22606,0.17670666666666668,0.15272,0.18328333333333333,0.169687
scene_54,5.207449666666666,5.283033,0.21866666666666668,0.2291,0.38430666666666663,0.38296,0.27855399999999997,0.286691
scene_55,1.447946,1.487707,0.0385,0.02486,0.06939333333333333,0.06138,0.047397,0.035387
scene_56,0.07415,0.074266,0.009733333333333333,0.00856,0.018046666666666666,0.01572,0.012630333333333334,0.011084
scene_57,0.5738056666666667,0.567963,0.08624,0.10072,0.11322,0.12098,0.09761966666666666,0.111733
scene_59,2.331834,1.431033,0.025653333333333334,0.01572,0.03623333333333333,0.01906,0.029986,0.01723
scene_60,0.20188033333333333,0.202588,0.09304000000000001,0.08956,0.09327333333333333,0.07,0.09248466666666666,0.078581
scene_61,0.39473566666666665,0.405574,0.010773333333333334,0.01114,0.05303333333333333,0.05718,0.017403333333333333,0.01891
scene_64,8.351017666666666,7.729799,0.21209333333333333,0.21592,0.3814333333333333,0.39396,0.272588,0.278953
scene_66,3.0804283333333333,2.964125,0.38474,0.40598,0.4568666666666667,0.44512,0.41575999999999996,0.422849
scene_67,6.764992333333335,6.852363,0.15694,0.16694,0.13066666666666668,0.1262,0.142062,0.148101
scene_71,0.14594733333333332,0.145219,0.09728666666666667,0.09882,0.11996666666666667,0.12156,0.10742033333333334,0.109017
scene_72,0.07610733333333333,0.073564,0.18255333333333335,0.20186,0.2619,0.27884,0.21494166666666667,0.234186
scene_73,0.10755300000000001,0.108622,0.12119999999999999,0.11624,0.15548666666666666,0.13936,0.13614466666666666,0.126754
