scene,frame,style,method,cosine_sim
scene_10,00000040,oil_painting,stylized,0.893555
scene_10,00000040,oil_painting,destylized_controlnet,0.715332
scene_10,00000040,impressionism,stylized,0.481445
scene_10,00000040,impressionism,destylized_controlnet,0.083679
scene_10,00000040,engraving,stylized,0.312988
scene_10,00000040,engraving,destylized_controlnet,0.418213
scene_10,00000045,watercolor,stylized,0.391357
scene_10,00000045,watercolor,destylized_controlnet,0.373535
scene_10,00000045,oil_painting,stylized,0.598145
scene_10,00000045,oil_painting,destylized_controlnet,0.365723
scene_10,00000045,impressionism,stylized,0.368408
scene_10,00000045,impressionism,destylized_controlnet,0.414307
scene_10,00000045,engraving,stylized,0.487305
scene_10,00000045,engraving,destylized_controlnet,0.282227
scene_10,00000050,watercolor,stylized,0.385254
scene_10,00000050,watercolor,destylized_controlnet,0.439697
scene_10,00000050,oil_painting,stylized,0.912109
scene_10,00000050,oil_painting,destylized_controlnet,0.687988
scene_10,00000050,impressionism,stylized,0.450684
scene_10,00000050,impressionism,destylized_controlnet,0.236938
scene_10,00000050,engraving,stylized,0.331543
scene_10,00000050,engraving,destylized_controlnet,0.385254
scene_10,00000055,watercolor,stylized,0.732422
scene_10,00000055,watercolor,destylized_controlnet,0.637695
scene_10,00000055,oil_painting,stylized,0.972656
scene_10,00000055,oil_painting,destylized_controlnet,0.784668
scene_10,00000055,impressionism,stylized,0.516113
scene_10,00000055,impressionism,destylized_controlnet,0.297119
scene_10,00000055,engraving,stylized,0.680664
scene_10,00000055,engraving,destylized_controlnet,0.63916
scene_10,00000060,watercolor,stylized,0.261963
scene_10,00000060,watercolor,destylized_controlnet,0.182251
scene_10,00000060,oil_painting,stylized,0.82666
scene_10,00000060,oil_painting,destylized_controlnet,0.723145
scene_10,00000060,impressionism,stylized,0.364502
scene_10,00000060,impressionism,destylized_controlnet,0.168579
scene_10,00000060,engraving,stylized,0.309326
scene_10,00000060,engraving,destylized_controlnet,0.275146
scene_10,00000065,watercolor,stylized,0.266846
scene_10,00000065,watercolor,destylized_controlnet,0.228882
scene_10,00000065,oil_painting,stylized,0.789551
scene_10,00000065,oil_painting,destylized_controlnet,0.212646
scene_10,00000065,impressionism,stylized,0.41626
scene_10,00000065,impressionism,destylized_controlnet,0.232056
scene_10,00000065,engraving,stylized,0.587891
scene_10,00000065,engraving,destylized_controlnet,0.223633
scene_10,00000070,watercolor,stylized,0.778809
scene_10,00000070,watercolor,destylized_controlnet,0.345947
scene_10,00000070,oil_painting,stylized,0.929199
scene_10,00000070,oil_painting,destylized_controlnet,0.658203
scene_10,00000070,impressionism,stylized,0.814941
scene_10,00000070,impressionism,destylized_controlnet,0.342285
scene_10,00000070,engraving,stylized,0.683105
scene_10,00000070,engraving,destylized_controlnet,0.370361
scene_10,00000075,watercolor,stylized,0.401367
scene_10,00000075,watercolor,destylized_controlnet,0.42334
scene_10,00000075,oil_painting,stylized,0.825195
scene_10,00000075,oil_painting,destylized_controlnet,0.705078
scene_10,00000075,impressionism,stylized,0.226074
scene_10,00000075,impressionism,destylized_controlnet,0.207886
scene_10,00000075,engraving,stylized,0.681641
scene_10,00000075,engraving,destylized_controlnet,0.314209
scene_10,00000080,watercolor,stylized,0.735352
scene_10,00000080,watercolor,destylized_controlnet,0.650879
scene_10,00000080,oil_painting,stylized,0.789551
scene_10,00000080,oil_painting,destylized_controlnet,0.690918
scene_10,00000080,impressionism,stylized,0.419678
scene_10,00000080,impressionism,destylized_controlnet,0.60498
scene_10,00000080,engraving,stylized,0.74707
scene_10,00000080,engraving,destylized_controlnet,0.569336
scene_101,00000000,watercolor,stylized,0.793457
scene_101,00000000,watercolor,destylized_controlnet,0.672363
scene_101,00000000,oil_painting,stylized,0.787109
scene_101,00000000,oil_painting,destylized_controlnet,0.223389
scene_101,00000000,impressionism,stylized,0.681641
scene_101,00000000,impressionism,destylized_controlnet,0.046722
scene_101,00000000,engraving,stylized,0.669922
scene_101,00000000,engraving,destylized_controlnet,0.600586
scene_101,00000006,watercolor,stylized,0.879883
scene_101,00000006,watercolor,destylized_controlnet,0.250244
scene_101,00000006,oil_painting,stylized,0.88916
scene_101,00000006,oil_painting,destylized_controlnet,0.298584
scene_101,00000006,impressionism,stylized,0.662598
scene_101,00000006,impressionism,destylized_controlnet,0.023849
scene_101,00000006,engraving,stylized,0.691895
scene_101,00000006,engraving,destylized_controlnet,0.243896
scene_101,00000013,watercolor,stylized,0.637207
scene_101,00000013,watercolor,destylized_controlnet,0.131348
scene_101,00000013,oil_painting,stylized,0.82959
scene_101,00000013,oil_painting,destylized_controlnet,0.393311
scene_101,00000013,impressionism,stylized,0.648926
scene_101,00000013,impressionism,destylized_controlnet,0.303467
scene_101,00000013,engraving,stylized,0.213501
scene_101,00000013,engraving,destylized_controlnet,0.063232
scene_101,00000020,watercolor,stylized,0.760254
scene_101,00000020,watercolor,destylized_controlnet,0.202026
scene_101,00000020,oil_painting,stylized,0.861328
scene_101,00000020,oil_painting,destylized_controlnet,0.81543
scene_101,00000020,impressionism,stylized,0.612793
scene_101,00000020,impressionism,destylized_controlnet,0.284424
scene_101,00000020,engraving,stylized,0.668945
scene_101,00000020,engraving,destylized_controlnet,0.462891
scene_101,00000028,watercolor,stylized,0.876953
scene_101,00000028,watercolor,destylized_controlnet,0.654297
scene_101,00000028,oil_painting,stylized,0.898926
scene_101,00000028,oil_painting,destylized_controlnet,0.876465
scene_101,00000028,impressionism,stylized,0.790039
scene_101,00000028,impressionism,destylized_controlnet,0.029114
scene_101,00000028,engraving,stylized,0.768555
scene_101,00000028,engraving,destylized_controlnet,0.557129
scene_101,00000035,watercolor,stylized,0.958984
scene_101,00000035,watercolor,destylized_controlnet,0.859863
scene_101,00000035,oil_painting,stylized,0.977051
scene_101,00000035,oil_painting,destylized_controlnet,0.89209
scene_101,00000035,impressionism,stylized,0.878906
scene_101,00000035,impressionism,destylized_controlnet,0.844238
scene_101,00000035,engraving,stylized,0.826172
scene_101,00000035,engraving,destylized_controlnet,0.781738
scene_101,00000041,watercolor,stylized,0.785645
scene_101,00000041,watercolor,destylized_controlnet,0.325684
scene_101,00000041,oil_painting,stylized,0.854492
scene_101,00000041,oil_painting,destylized_controlnet,0.46167
scene_101,00000041,impressionism,stylized,0.550293
scene_101,00000041,impressionism,destylized_controlnet,0.138184
scene_101,00000041,engraving,stylized,0.687988
scene_101,00000041,engraving,destylized_controlnet,0.434082
scene_101,00000048,watercolor,stylized,0.791016
scene_101,00000048,watercolor,destylized_controlnet,0.452637
scene_101,00000048,oil_painting,stylized,0.912598
scene_101,00000048,oil_painting,destylized_controlnet,0.67627
scene_101,00000048,impressionism,stylized,0.686035
scene_101,00000048,impressionism,destylized_controlnet,0.227173
scene_101,00000048,engraving,stylized,0.603027
scene_101,00000048,engraving,destylized_controlnet,0.586426
scene_101,00000055,watercolor,stylized,0.775879
scene_101,00000055,watercolor,destylized_controlnet,0.250244
scene_101,00000055,oil_painting,stylized,0.753418
scene_101,00000055,oil_painting,destylized_controlnet,0.214111
scene_101,00000055,impressionism,stylized,0.683594
scene_101,00000055,impressionism,destylized_controlnet,0.28418
scene_101,00000055,engraving,stylized,0.84668
scene_101,00000055,engraving,destylized_controlnet,0.338135
scene_101,00000064,watercolor,stylized,0.343262
scene_101,00000064,watercolor,destylized_controlnet,0.105408
scene_101,00000064,oil_painting,stylized,0.713867
scene_101,00000064,oil_painting,destylized_controlnet,0.151123
scene_101,00000064,impressionism,stylized,0.258789
scene_101,00000064,impressionism,destylized_controlnet,0.064941
scene_101,00000064,engraving,stylized,0.596191
scene_101,00000064,engraving,destylized_controlnet,0.599121
scene_101,00000069,watercolor,stylized,0.874023
scene_101,00000069,watercolor,destylized_controlnet,0.821289
scene_101,00000069,oil_painting,stylized,0.861328
